Distance_(pixels),Gray_Value
800,219.060
801,221.345
802,218.711
803,220.703
804,218.253
805,221.679
806,219.124
807,224.014
808,222.012
809,227.571
810,225.192
811,229.541
812,227.870
813,229.440
814,226.855
815,227.943
816,223.396
817,225.382
818,219.496
819,222.930
820,218.700
821,220.407
822,219.385
823,220.556
824,219.072
825,222.909
826,220.020
827,225.514
828,223.201
829,228.108
830,227.078
831,229.354
832,228.460
833,229.254
834,226.047
835,227.709
836,222.334
837,224.465
838,219.320
839,221.793
840,218.277
841,219.360
842,218.383
843,220.020
844,217.993
845,222.007
846,219.658
847,224.330
848,223.017
849,227.447
850,226.126
851,229.204
852,227.520
853,229.168
854,225.856
855,227.122
856,222.296
857,224.130
858,218.556
859,221.413
860,217.291
861,218.901
862,217.956
863,218.461
864,217.793
865,220.375
866,217.930
867,223.033
868,221.230
869,225.618
870,224.734
871,227.703
872,227.456
873,228.471
874,227.283
875,228.182
876,224.179
877,225.926
878,220.335
879,222.934
880,217.968
881,219.927
882,216.878
883,218.713
884,216.741
885,218.993
886,216.671
887,221.253
888,219.582
889,224.150
890,222.846
891,227.694
892,226.037
893,229.587
894,229.106
895,229.775
896,228.927
897,229.127
898,226.109
899,227.246
900,222.412
901,224.298
902,219.890
903,221.537
904,218.882
905,219.381
906,218.922
907,220.075
908,218.235
909,222.345
910,219.869
911,224.776
912,224.093
913,228.337
914,227.513
915,230.959
916,230.133
917,231.907
918,231.243
919,231.565
920,229.332
921,229.916
922,225.959
923,227.115
924,222.781
925,224.142
926,220.670
927,221.814
928,220.354
929,220.324
930,220.096
931,221.500
932,219.318
933,223.612
934,221.326
935,226.355
936,225.459
937,229.578
938,228.272
939,231.711
940,231.081
941,232.458
942,231.540
943,232.062
944,229.683
945,230.104
946,226.265
947,227.507
948,222.910
949,224.073
950,220.453
951,221.452
952,219.430
953,219.483
954,219.318
955,220.344
956,218.805
957,221.980
958,220.346
959,224.755
960,223.923
961,228.352
962,227.522
963,231.120
964,230.434
965,232.421
966,232.277
967,232.632
968,231.623
969,231.970
970,229.004
971,229.969
972,226.244
973,226.957
974,223.200
975,224.267
976,220.894
977,221.164
978,219.494
979,219.795
980,219.221
981,220.309
982,219.168
983,222.203
984,221.226
985,225.256
986,225.258
987,229.019
988,228.731
989,232.030
990,231.986
991,233.877
992,234.141
993,234.285
994,234.262
995,234.600
996,232.721
997,233.243
998,230.586
999,231.090
1000,227.593
1001,228.305
1002,224.106
1003,225.912
1004,222.927
1005,223.495
1006,222.005
1007,222.227
1008,222.043
1009,222.981
1010,221.692
1011,224.992
1012,223.875
1013,227.314
1014,227.343
1015,230.688
1016,230.704
1017,233.766
1018,233.947
1019,236.076
1020,235.446
1021,236.157
1022,236.234
1023,236.261
1024,235.736
1025,235.562
1026,233.338
1027,233.843
1028,231.244
1029,231.562
1030,228.687
1031,228.578
1032,224.986
1033,225.431
1034,222.889
1035,223.228
1036,221.785
1037,222.027
1038,221.578
1039,222.375
1040,222.133
1041,224.007
1042,223.630
1043,226.642
1044,226.366
1045,229.445
1046,229.913
1047,232.481
1048,233.081
1049,234.525
1050,235.287
1051,236.071
1052,236.306
1053,236.584
1054,236.486
1055,236.366
1056,235.364
1057,235.100
1058,232.787
1059,233.019
1060,229.842
1061,229.437
1062,226.391
1063,225.800
1064,222.550
1065,222.719
1066,219.510
1067,220.341
1068,218.701
1069,218.787
1070,218.750
1071,218.612
1072,218.418
1073,219.662
1074,219.387
1075,222.674
1076,221.661
1077,225.504
1078,225.521
1079,228.800
1080,229.635
1081,231.673
1082,232.498
1083,234.582
1084,234.460
1085,236.009
1086,236.148
1087,236.637
1088,236.558
1089,236.315
1090,235.551
1091,235.511
1092,234.011
1093,233.741
1094,231.318
1095,231.122
1096,227.990
1097,227.592
1098,223.725
1099,224.158
1100,220.554
1101,221.140
1102,218.431
1103,218.431
1104,217.921
1105,217.482
1106,217.406
1107,217.721
1108,217.636
1109,218.674
1110,218.934
1111,221.156
1112,221.652
1113,224.414
1114,225.207
1115,228.330
1116,228.682
1117,231.975
1118,232.788
1119,234.769
1120,236.066
1121,237.099
1122,237.736
1123,238.543
1124,238.686
1125,239.096
1126,239.253
1127,239.168
1128,238.833
1129,238.351
1130,237.179
1131,236.779
1132,235.344
1133,234.579
1134,232.708
1135,231.796
1136,229.072
1137,228.164
1138,224.269
1139,224.688
1140,221.105
1141,221.152
1142,218.299
1143,218.212
1144,216.742
1145,216.311
1146,216.087
1147,215.950
1148,215.986
1149,216.239
1150,216.763
1151,217.584
1152,217.809
1153,220.372
1154,220.535
1155,223.766
1156,224.015
1157,227.194
1158,228.011
1159,230.588
1160,231.958
1161,233.586
1162,234.532
1163,236.529
1164,236.638
1165,238.208
1166,238.462
1167,239.238
1168,239.703
1169,239.696
1170,239.759
1171,239.725
1172,239.668
1173,239.235
